arc,conv,asp,pID,sID,dirDate,dirJD
-0.058554803895447094,0,-120.0,8,4,10/25/2006 10:54:0,2454033.954447866
0.35777418923305504,0,120.0,4,8,2/11/2007 16:4:0,2454143.1695235143
-0.8010060153764584,0,-90.0,10,9,7/23/2007 10:47:0,2454304.9491400565
0.9465659173321797,0,90.0,9,10,9/14/2007 13:53:0,2454358.0785042704
1.5480341335674268,0,180.0,7,25,4/21/2008 15:54:0,2454578.16243733
-1.796619872266774,0,90.0,5,8,7/21/2008 15:29:0,2454669.1448176936
2.1305049101389955,0,-90.0,8,5,11/20/2008 17:11:0,2454791.216236645
-2.250819827871311,0,-120.0,9,6,1/3/2009 15:9:0,2454835.1311816173
-2.3828779900659356,0,90.0,6,5,2/20/2009 19:59:0,2454883.3324108184
2.8371075701143695,0,-90.0,5,6,8/5/2009 15:2:0,2455049.126207536
3.1760362024783717,0,120.0,6,9,12/7/2009 8:3:0,2455172.835158349
-3.491681215051358,0,-60.0,1,9,4/1/2010 13:6:0,2455288.045587938
-3.5741331595278325,0,120.0,5,28,5/1/2010 15:22:0,2455318.140547672
-3.6593937584633807,0,90.0,1,24,6/1/2010 18:15:0,2455349.2606662833
-3.7088228452888075,0,120.0,2,1,6/19/2010 19:15:0,2455367.3022829746
3.997743729177131,0,-120.0,1,2,10/3/2010 6:12:0,2455472.7584055937
-4.233218616293669,0,60.0,6,4,12/28/2010 4:58:0,2455558.706739391
4.248701857481819,0,60.0,9,1,1/2/2011 20:36:0,2455564.358122425
-4.327161803544868,0,-180.0,6,8,1/31/2011 11:54:0,2455592.996002738
4.372273110841888,0,60.0,3,24,2/16/2011 23:5:0,2455609.4616299015
4.70193294947407,0,-180.0,8,6,6/17/2011 6:54:0,2455729.7874710024
4.991501631614199,0,-60.0,4,6,9/30/2011 23:31:0,2455835.4800399835
-5.092394414779392,0,0.0,0,3,11/6/2011 19:21:0,2455872.3059058385
-5.629504335454243,0,-180.0,1,6,5/20/2012 20:25:0,2456068.351026885
5.646260492164032,0,120.0,10,28,5/26/2012 23:13:0,2456074.467024084
5.652963525426884,0,0.0,3,0,5/29/2012 9:56:0,2456076.913631225
-5.74010808402025,0,0.0,4,0,6/30/2012 5:19:0,2456108.7213951116
5.741359252879477,0,120.0,5,10,6/30/2012 16:16:0,2456109.178071745
5.953533610366577,0,0.0,0,4,9/16/2012 2:55:0,2456186.621712228
-6.012117884237767,0,-120.0,8,0,10/8/2012 12:25:0,2456209.017090075
-6.121151180712701,0,-120.0,10,5,11/17/2012 10:10:0,2456248.923276585
6.5560357072565125,0,120.0,0,8,4/25/2013 14:11:0,2456408.0910133
-6.573894122295599,0,120.0,5,7,5/2/2013 3:3:0,2456414.6271932046
-6.601162783415049,0,120.0,10,24,5/12/2013 2:35:0,2456424.607523174
-6.684264968213171,0,90.0,4,28,6/11/2013 12:33:0,2456455.02292281
-6.703622057134169,0,-60.0,9,4,6/18/2013 14:35:0,2456462.1076173554
6.806087324189434,0,-180.0,6,1,7/26/2013 2:38:0,2456499.6099050976
-6.884547270252483,0,60.0,9,8,8/23/2013 19:50:0,2456528.3262453564
-6.979126554401887,0,60.0,2,25,9/27/2013 10:37:0,2456562.9422633555
7.310874593266277,0,-60.0,9,2,1/25/2014 13:14:0,2456683.0511709866
7.637610230905608,0,-120.0,7,5,5/24/2014 19:26:0,2456802.309678725
8.017110520158894,0,-60.0,8,9,10/10/2014 8:16:0,2456940.8443948226
8.332868856064863,0,60.0,4,9,2/2/2015 21:53:0,2457056.411945764
8.432173580106223,0,60.0,5,25,3/11/2015 6:11:0,2457092.7574747633
-8.668375467544365,0,-90.0,1,5,6/5/2015 16:59:0,2457179.2073655655
-8.717680905000691,0,60.0,2,9,6/23/2015 18:5:0,2457197.2531556743
8.837406012212455,0,120.0,2,7,8/6/2015 13:44:0,2457241.0725449137
9.03871290131795,0,-180.0,10,3,10/18/2015 5:6:0,2457313.7121534254
9.336629255467528,0,90.0,5,1,2/3/2016 22:50:0,2457422.4516226896
-9.417368875721337,0,-120.0,7,2,3/4/2016 10:7:0,2457451.921584083
9.781278034106776,0,60.0,6,2,7/15/2016 5:58:0,2457584.7484268933
9.985278818650187,0,-90.0,9,3,9/27/2016 17:1:0,2457659.2087132516
-10.016752921223315,0,-120.0,1,4,10/10/2016 4:43:0,2457671.696760691
-10.18678169663599,0,60.0,6,0,12/11/2016 6:10:0,2457733.7572637163
-10.20834453064191,0,-60.0,2,6,12/19/2016 3:4:0,2457741.6276981286
-10.263231777835415,0,0.0,1,8,1/8/2017 3:53:0,2457761.6615433544
-10.832473028823898,0,0.0,4,3,8/3/2017 22:26:0,2457969.434599965
-10.86505979717424,0,90.0,3,9,8/15/2017 19:53:0,2457981.3287704126
-10.96049699158408,0,90.0,6,24,9/19/2017 15:55:0,2458016.1633463725
-11.104482829041416,0,-120.0,8,3,11/11/2017 5:14:0,2458068.7181770443
11.189763149637628,0,-60.0,0,6,12/12/2017 8:18:0,2458099.845494062
11.2014546348272,0,0.0,8,1,12/16/2017 14:43:0,2458104.112886156
-11.368687457842896,0,90.0,9,7,2/15/2018 15:40:0,2458165.152866557
11.491023316967357,0,120.0,4,1,4/1/2018 7:20:0,2458209.8054551375
-11.557966749589554,0,180.0,1,25,4/25/2018 17:45:0,2458234.2398080444
11.600785017239303,0,60.0,0,24,5/11/2018 8:51:0,2458249.8684757366
11.606526605769204,0,0.0,3,4,5/13/2018 11:8:0,2458251.96415555
-12.235983533258093,0,0.0,7,1,12/29/2018 5:11:0,2458481.7159340833
-12.315253375175132,0,0.0,10,7,1/27/2019 3:35:0,2458510.649426383
12.625498699418245,0,0.0,7,10,5/20/2019 9:20:0,2458623.888969732
-12.657185137476489,0,-60.0,9,0,5/31/2019 22:55:0,2458635.454519623
12.71632822850492,0,90.0,7,24,6/22/2019 13:0:0,2458657.0417478485
12.81300589183951,0,120.0,3,8,7/27/2019 19:54:0,2458692.3290949655
13.226966915653463,0,90.0,9,25,12/25/2019 22:12:0,2458843.4248686577
13.41624620740015,0,0.0,1,7,3/4/2020 0:17:0,2458912.5118101453
-13.863143287439392,0,120.0,7,28,8/14/2020 3:6:0,2459075.6292443597
13.955941846504999,0,-120.0,8,2,9/17/2020 0:1:0,2459109.5007184185
13.970524047085064,0,-90.0,7,9,9/22/2020 7:45:0,2459114.8232216304
-14.036022274161297,0,0.0,5,24,10/17/2020 5:31:0,2459139.7300745132
14.131077846121599,0,-180.0,10,0,11/20/2020 22:13:0,2459174.4253582787
14.1735328329857,0,180.0,10,25,12/6/2020 10:7:0,2459189.921428484
14.227951646722516,0,0.0,4,2,12/26/2020 6:49:0,2459209.784295498
-14.600171744619217,0,0.0,2,4,5/11/2021 3:28:0,2459345.6446312303
14.780072154197427,0,-60.0,5,3,7/15/2021 19:24:0,2459411.3082807264
-14.84207197302311,0,120.0,2,8,8/7/2021 10:31:0,2459433.9382145978
14.845122288550044,0,90.0,2,8,8/8/2021 13:14:0,2459435.051579765
-14.92447419648795,0,-90.0,8,2,9/6/2021 12:22:0,2459464.0150261624
-14.936651257172485,0,120.0,9,25,9/10/2021 23:2:0,2459468.4596533123
14.991121094797279,0,60.0,0,9,9/30/2021 20:11:0,2459488.3411440453
15.077643763453835,0,-90.0,9,0,11/1/2021 11:59:0,2459519.999561868
-15.120074298953185,0,90.0,0,28,11/17/2021 0:42:0,2459535.529137861
-15.279146641439638,0,60.0,6,3,1/14/2022 5:59:0,2459593.749615211
-15.734821111890653,0,60.0,3,5,6/30/2022 0:38:0,2459760.526471396
-15.970316001565635,0,-120.0,1,0,9/24/2022 5:13:0,2459846.717601017
-16.286589736745498,0,90.0,8,24,1/16/2023 16:30:0,2459961.1871983563
16.469304012408173,0,0.0,2,5,3/24/2023 9:4:0,2460027.877908973
16.79493071498308,0,60.0,9,7,7/21/2023 5:34:0,2460146.7316554133
-16.824780615152577,0,0.0,5,2,8/1/2023 3:3:0,2460157.626868975
16.84482199019382,0,90.0,2,28,8/8/2023 10:36:0,2460164.941970865
17.446733334220653,0,-60.0,3,6,3/15/2024 14:4:0,2460385.0863447688
-17.4940367238801,0,0.0,6,25,4/1/2024 21:35:0,2460402.3993853843
-17.537444537961903,0,90.0,0,9,4/17/2024 18:53:0,2460418.2866453384
17.689284834990815,0,120.0,0,1,6/12/2024 8:39:0,2460473.8601940507
-17.749550082280138,0,-60.0,9,3,7/4/2024 10:1:0,2460495.917274559
-18.570666858894526,0,-60.0,7,9,4/30/2025 9:1:0,2460795.8753479407
-18.735505218611223,0,-180.0,7,6,6/29/2025 12:59:0,2460856.0413492373
18.795879696378762,0,60.0,4,24,7/21/2025 13:52:0,2460878.0780336224
-19.12012297979686,0,120.0,5,1,11/16/2025 22:15:0,2460996.42683207
19.13219017791036,0,60.0,8,24,11/21/2025 7:57:0,2461000.8313593813
19.352316181690696,0,-180.0,6,7,2/9/2026 16:15:0,2461081.1773507614
-19.43785709669288,0,90.0,6,2,3/12/2026 21:36:0,2461112.3997847373
19.478849730931216,0,-90.0,2,6,3/27/2026 20:41:0,2461127.362096234
19.872437099001075,0,-60.0,5,0,8/18/2026 12:31:0,2461271.0214855797
19.9437332656112,0,60.0,3,28,9/13/2026 13:4:0,2461297.044586392
19.968030260767023,0,0.0,0,2,9/22/2026 9:55:0,2461305.9129896243
-20.024578655158166,0,90.0,5,25,10/13/2026 1:17:0,2461326.553153577
20.08464092646392,0,-180.0,10,4,11/3/2026 23:25:0,2461348.4758826033
-20.553734824961538,0,0.0,2,0,4/24/2027 4:41:0,2461519.6951555554
21.031206843796156,0,-90.0,9,4,10/15/2027 11:20:0,2461693.97244243
21.052722835804076,0,-120.0,1,5,10/23/2027 7:49:0,2461701.8257795125
-21.062680946369284,0,-120.0,1,3,10/26/2027 23:3:0,2461705.460489869
21.15265938738753,0,120.0,2,10,11/28/2027 19:16:0,2461738.3026208407
21.508837158301674,0,60.0,3,9,4/6/2028 19:23:0,2461868.3075072244
21.664211600736223,0,-180.0,7,3,6/2/2028 12:28:0,2461925.0191787127
21.88285811296879,0,90.0,5,7,8/21/2028 7:48:0,2462004.8251556777
-21.889404034517867,0,180.0,8,25,8/23/2028 17:9:0,2462007.214417043
-22.178972716657995,0,60.0,4,25,12/8/2028 14:4:0,2462114.085958741
-22.252537175395048,0,60.0,0,5,1/4/2029 12:15:0,2462141.0105506387
22.42919206149861,0,-60.0,10,8,3/10/2029 3:59:0,2462205.666238953
22.651647153680415,0,0.0,3,25,5/30/2029 14:2:0,2462287.0848026914
-22.7939567260947,0,90.0,3,28,7/21/2029 16:5:0,2462339.170106195
-22.871001276089203,0,120.0,7,24,8/18/2029 20:51:0,2462367.368411493
-23.176130287339646,0,-120.0,10,2,12/7/2029 8:52:0,2462477.8694993234
-23.273134223107263,0,-90.0,7,5,1/11/2030 18:37:0,2462513.2759358785
-23.369232660992395,0,0.0,7,8,2/15/2030 20:27:0,2462548.3518657065
-23.431865526121783,0,-120.0,7,4,3/10/2030 17:7:0,2462571.212861479
23.747683492328463,0,0.0,8,7,7/3/2030 23:40:0,2462686.486419144
-23.914916315344158,0,90.0,9,1,9/3/2030 0:38:0,2462747.526399545
23.94625501957381,0,120.0,3,1,9/14/2030 11:10:0,2462758.9650265886
24.03725217446862,0,120.0,4,7,10/17/2030 17:11:0,2462792.2162403
-24.221272002967908,0,90.0,4,9,12/24/2030 1:37:0,2462859.5674975305
24.231532632048044,0,120.0,6,24,12/27/2030 19:45:0,2462863.3228877736
24.365853699893222,0,-60.0,9,5,2/14/2031 23:38:0,2462912.4843986053
-24.861482232676394,0,0.0,10,1,8/15/2031 9:14:0,2463093.884441604
-25.094802833705785,0,120.0,2,28,11/7/2031 16:26:0,2463178.184978747
-25.61964466515002,0,-60.0,5,6,5/17/2032 6:3:0,2463369.752247224
25.62102325616965,0,0.0,3,2,5/17/2032 18:8:0,2463370.255432946
-25.646099769765186,0,0.0,2,3,5/26/2032 21:48:0,2463379.4083604086
-25.72335457417131,0,-90.0,1,2,6/24/2032 2:33:0,2463407.606364017
25.731499582575225,0,0.0,1,10,6/27/2032 1:54:0,2463410.579292084
25.826000179343396,0,-60.0,5,4,7/31/2032 13:44:0,2463445.0720099043
